Disney_Movie,Disney_Rating,Disney_Genre,Disney_Tv_Ratings,Year,Runtime
Noelle,6.3,"Fantasy, Comedy, Kids & Family, Romance",G,2019,1h 40min
Frozen,7.4,"Fantasy, Animation, Kids & Family, Action & Adventure, Comedy",PG,2013,1h 42min
The Challenger Disaster: Lost Tapes,7.2,"Documentary, History",N/A,2016,48min
20/20 Presents Black Panther: In Search of Wakanda,N/A,Documentary,N/A,2022,43min
Welcome to the Club,N/A,Comedy,N/A,2022,4min
The Simpsons Meet the Bocellis in Feliz Navidad,5.6,Comedy,PG,2022,4min
Sneakerella,4.8,"Comedy, Kids & Family, Music & Musical",N/A,2022,1h 52min
Magic Camp,6.3,"Comedy, Kids & Family, Fantasy",PG,2020,1h 40min
West Side Story,7.2,"Drama, Romance, Crime",PG-13,2021,2h 37min
Hocus Pocus 25th Anniversary Halloween Bash,6.7,"Documentary, Kids & Family, Music & Musical",PG,2018,1h 30min
Eyewitness: D-Day,6.5,Documentary,N/A,2019,44min
The Little Guy,N/A,Science-Fiction,PG,2022,6min
Better Nate Than Ever,6.4,"Music & Musical, Comedy, Drama, Kids & Family",PG,2022,1h 32min
Christopher Robin,7.2,"Comedy, Animation, Drama, Kids & Family, Fantasy",PG,2018,1h 44min
Ant-Man and the Wasp,7.0,"Action & Adventure, Science-Fiction, Comedy",PG-13,2018,1h 59min
Iron Man 3,7.1,"Action & Adventure, Science-Fiction",PG-13,2013,2h 10min
One Day at Disney,7.0,Documentary,N/A,2019,59min
The Lego Star Wars Holiday Special,6.4,"Science-Fiction, Action & Adventure, Animation, Comedy, Kids & Family",G,2020,44min
Retrograde,7.4,"Documentary, History, War & Military",R,2022,1h 34min
Happier Than Ever: A Love Letter to Los Angeles,7.3,"Music & Musical, Documentary",PG,2021,1h 5min
Big Shot,N/A,Documentary,N/A,2013,1h 17min
More Than Robots,6.0,"Kids & Family, Documentary",N/A,2022,1h 29min
Incredibles 2,7.6,"Action & Adventure, Science-Fiction, Animation, Comedy, Kids & Family",PG,2018,1h 58min
Hamilton,8.4,"Drama, Music & Musical, History",PG-13,2020,2h 40min
Hollywood Stargirl,5.8,"Comedy, Romance, Drama, Kids & Family",PG,2022,1h 45min
Harmonious Live!,7.5,"Music & Musical, Kids & Family",N/A,2022,32min
Captain America: The Winter Soldier,7.8,"Action & Adventure, Science-Fiction, Mystery & Thriller",PG-13,2014,2h 8min
Flora & Ulysses,6.2,"Comedy, Kids & Family",PG,2021,1h 35min
Torn,7.4,Documentary,N/A,2021,1h 32min
Black Widow,6.7,"Action & Adventure, Science-Fiction",PG-13,2021,2h 14min
Star Wars: The Force Awakens,7.8,"Action & Adventure, Science-Fiction, Fantasy",PG-13,2015,2h 15min
Eternals,6.3,"Science-Fiction, Action & Adventure, Fantasy, Drama",PG-13,2021,2h 36min
Cheaper by the Dozen,4.5,"Comedy, Kids & Family, Romance",PG,2022,1h 47min
Into the Woods,5.9,"Fantasy, Comedy, Drama",PG,2014,2h 5min
The Rescue,8.4,"Action & Adventure, Mystery & Thriller, Drama, Documentary",PG,2021,1h 47min
The Nutcracker and the Four Realms,5.6,"Fantasy, Kids & Family",PG,2018,1h 39min
Encanto,7.2,"Fantasy, Animation, Comedy, Kids & Family, Drama",PG,2021,1h 42min
Free Solo,8.1,"Action & Adventure, Documentary, Sport",PG-13,2018,1h 40min
Avengers: Age of Ultron,7.3,"Science-Fiction, Action & Adventure, Comedy",PG-13,2015,2h 22min
Brahmāstra Part One: Shiva,5.5,"Action & Adventure, Fantasy, Science-Fiction",PG-13,2022,2h 48min
Luca,7.5,"Animation, Comedy, Fantasy, Action & Adventure, Kids & Family",PG,2021,1h 35min
Sea of Shadows,7.3,"Documentary, Crime, History, Made in Europe",PG-13,2019,1h 46min
The Finest Hours,6.7,"Mystery & Thriller, Action & Adventure, Drama, History",PG-13,2016,1h 57min
Ferdinand,6.7,"Animation, Kids & Family, Action & Adventure, Comedy, Fantasy, Drama",PG,2017,1h 46min
Thor: The Dark World,6.8,"Action & Adventure, Fantasy, Science-Fiction",PG-13,2013,1h 52min
Moana,7.6,"Comedy, Animation, Kids & Family, Fantasy",PG,2016,1h 43min
Big Hero 6,7.8,"Comedy, Kids & Family, Science-Fiction, Drama, Animation, Action & Adventure",PG,2014,1h 42min
Fantastic Lies,N/A,"Documentary, History",N/A,2016,1h 43min
Rise,7.0,"Drama, Sport",PG,2022,1h 53min
Ciao Alberto,N/A,"Comedy, Kids & Family, Fantasy, Animation",PG,2021,7min
The Flagmakers,7.5,Documentary,N/A,2022,35min
Star Wars: Galaxy's Edge - Adventure Awaits,5.7,Documentary,N/A,2019,1h 21min
Pirates of the Caribbean: Dead Men Tell No Tales,6.5,"Action & Adventure, Fantasy",PG-13,2017,2h 9min
Toy Story of Terror!,7.5,"Comedy, Kids & Family, Fantasy, Horror, Animation",G,2013,22min
Marvel Studios Assembled: The Making of Moon Knight,N/A,Documentary,PG-13,2022,1h 7min
Toy Story That Time Forgot,7.1,"Animation, Fantasy, Comedy, Kids & Family",G,2014,22min
Star Wars: The Last Jedi,6.9,"Action & Adventure, Science-Fiction, Fantasy",PG-13,2017,2h 30min
Muppets Haunted Mansion,6.3,"Comedy, Kids & Family, Fantasy",PG,2021,52min
Area 51: The CIA's Secret,5.8,Documentary,N/A,2014,52min
Four Falls of Buffalo,N/A,Documentary,N/A,2015,1h 42min
Captain America: Civil War,7.8,"Science-Fiction, Action & Adventure",PG-13,2016,2h 27min
Pentatonix: Around the World for the Holidays,5.0,"Documentary, Music & Musical, Kids & Family, Reality TV",N/A,2022,49min
Beauty and the Beast: A 30th Celebration,6.7,"Animation, Kids & Family, Fantasy, Music & Musical, Romance",PG,2022,1h 28min
22 vs. Earth,N/A,"Animation, Fantasy",G,2021,9min
Sharkatraz,5.3,Documentary,PG-13,2016,42min
Stuntman,6.6,Documentary,PG-13,2021,1h 27min
Godmothered,6.1,"Comedy, Fantasy, Drama, Kids & Family",PG,2020,1h 50min
Marvel Studios Assembled: The Making of Ms. Marvel,N/A,Documentary,PG-13,2022,1h 2min
Timmy Failure: Mistakes Were Made,6.0,"Fantasy, Kids & Family, Mystery & Thriller, Comedy, Drama",PG,2020,1h 39min
X-Men: Days of Future Past,7.9,"Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",PG-13,2015,2h 12min
Descendants 3,6.4,"Music & Musical, Action & Adventure, Fantasy, Kids & Family, Drama, Mystery & Thriller, Reality TV",PG,2019,1h 46min
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,"Comedy, Drama, Kids & Family, Fantasy, Made in Europe",PG,2014,1h 15min
Howard,7.5,"Documentary, Music & Musical",N/A,2018,1h 33min
Best in Snow,4.5,"Kids & Family, Reality TV",PG,2022,1h 37min
OLIVIA RODRIGO: driving home 2 u (a SOUR film),7.1,"Documentary, Music & Musical",PG-13,2022,1h 16min
Chip 'n Dale: Rescue Rangers,7.0,"Comedy, Science-Fiction, Animation, Crime, Action & Adventure, Fantasy, Kids & Family",PG,2022,1h 39min
Lamp Life,N/A,Comedy,G,2020,7min
LEGO Star Wars Terrifying Tales,6.1,"Science-Fiction, Kids & Family, Horror, Animation, Fantasy, Action & Adventure, Comedy",G,2021,45min
Surviving the Mount St. Helens Disaster,7.3,"Documentary, History",N/A,2020,45min
Fantastic Four,4.3,"Science-Fiction, Action & Adventure, Drama",PG-13,2015,1h 40min
Long Gone Summer,N/A,Documentary,N/A,2020,2h 0min
Beauty and the Beast,7.1,"Fantasy, Romance, Kids & Family",PG,2017,2h 3min
Raya and the Last Dragon,7.3,"Fantasy, Action & Adventure, Animation, Comedy, Drama, Kids & Family",PG,2021,1h 54min
The Book of Manning,8.0,"Documentary, Sport",N/A,2013,2h 0min
From the Ashes,6.9,"Documentary, History, Sport, Action & Adventure, Science-Fiction",PG,2017,1h 22min
Under the Helmet: The Legacy of Boba Fett,7.2,Documentary,PG,2021,21min
Monkey Kingdom,7.2,Documentary,G,2015,1h 21min
Team Darryl,N/A,Comedy,PG,2018,6min
Artemis Fowl,4.2,"Fantasy, Science-Fiction, Action & Adventure, Kids & Family",PG,2020,1h 34min
Explorer: The Last Tepui,6.9,Documentary,N/A,2022,1h 0min
The Gospel According to Mac,N/A,Documentary,N/A,2015,1h 41min
The One and Only Ivan,6.5,"Drama, Fantasy, Animation, Comedy, Kids & Family",PG,2020,1h 33min
Black Beauty,6.4,"Drama, Kids & Family",PG,2020,1h 50min
Aladdin,6.9,"Fantasy, Action & Adventure, Kids & Family, Romance, Comedy, Drama",PG,2019,2h 8min
Zootopia,8.0,"Animation, Crime, Action & Adventure, Comedy, Kids & Family",PG,2016,1h 49min
Queen of Katwe,7.4,"Drama, Sport",PG,2016,2h 4min
Solo: A Star Wars Story,6.9,"Action & Adventure, Science-Fiction, Fantasy",PG-13,2018,2h 15min
Burrow,N/A,Comedy,G,2020,6min
Frozen Fever,N/A,"Animation, Kids & Family, Action & Adventure, Comedy",G,2015,8min
Toy Story 4,7.7,"Fantasy, Documentary, Animation, Comedy, Kids & Family",G,2019,1h 40min
Upside-Down Magic,N/A,,G,2020,1h 36min
Ice Age: Collision Course,5.6,"Comedy, Kids & Family, Science-Fiction, Drama, Fantasy, Romance, Animation",PG,2016,1h 35min
X-Men: Apocalypse,6.9,"Action & Adventure, Science-Fiction, Fantasy",PG-13,2016,2h 24min
